Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1783172434,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172435,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172436,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172437,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172438,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172439,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172440,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172441,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172442,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172443,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172444,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172445,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172446,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172447,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172448,3,,Aggregated,0.000000,0.000000,12000,12000,13000,13000,40000,40000,40000,40000,40000,40000,40000,6,0,4000,12637.54306666427,2612.9088000016054,40266.72889999463,218.0
1783172449,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
1783172450,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
1783172451,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
1783172452,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
1783172453,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
1783172454,3,,Aggregated,0.000000,0.000000,13000,40000,87000,87000,88000,88000,88000,88000,88000,88000,88000,8,0,12000,31308.88632499773,2612.9088000016054,87987.56589999539,295.25
